hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone_number,credit_card,total_stay_duration
Resort Hotel,0,342,2015,7,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,No Deposit,240.0,149.0,0,Transient,0.0,0,0,Check-Out,1/7/2015,Ernest Barnes,Ernest.Barnes31@outlook.com,669-792-1661,************4322,0
Resort Hotel,0,737,2015,7,27,1,0,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,No Deposit,240.0,149.0,0,Transient,0.0,0,0,Check-Out,1/7/2015,Andrea Baker,Andrea_Baker94@aol.com,858-637-6955,************9157,0
Resort Hotel,0,7,2015,7,27,1,0,1,1,0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,No Deposit,240.0,149.0,0,Transient,75.0,0,0,Check-Out,2/7/2015,Rebecca Parker,Rebecca_Parker@comcast.net,652-885-2745,************3734,1
Resort Hotel,0,13,2015,7,27,1,0,1,1,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,304.0,149.0,0,Transient,75.0,0,0,Check-Out,2/7/2015,Laura Murray,Laura_M@gmail.com,364-656-8427,************5677,1
Resort Hotel,0,14,2015,7,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,149.0,0,Transient,98.0,0,1,Check-Out,3/7/2015,Linda Hines,LHines@verizon.com,713-226-5883,************5498,2
Resort Hotel,0,14,2015,7,27,1,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,149.0,0,Transient,98.0,0,1,Check-Out,3/7/2015,Jasmine Fletcher,JFletcher43@xfinity.com,190-271-6743,************9263,2
Resort Hotel,0,0,2015,7,27,1,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,240.0,149.0,0,Transient,107.0,0,0,Check-Out,3/7/2015,Dylan Rangel,Rangel.Dylan@comcast.net,420-332-5209,************6994,2
Resort Hotel,0,9,2015,7,27,1,0,2,2,0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,303.0,149.0,0,Transient,103.0,0,1,Check-Out,3/7/2015,William Velez,Velez_William@mail.com,286-669-4333,************8729,2
Resort Hotel,1,85,2015,7,27,1,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,149.0,0,Transient,82.0,0,1,Canceled,6/5/2015,Steven Murphy,Steven.Murphy54@aol.com,341-726-5787,************3639,3
Resort Hotel,1,75,2015,7,27,1,0,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15.0,149.0,0,Transient,105.5,0,0,Canceled,22/04/15,Michael Moore,MichaelMoore81@outlook.com,316-648-6176,************9190,3
